CUSTOMER_ID;CUSTOMER_DESCR;Country_Res_descr (4);Matched Region
24009047;Stichting Uittreden Bouwbedrijf;Netherlands;Western Europe
24009048;SHV Holdings N.V.;Netherlands;Western Europe
24009058;Greif International Holding B.V.;Netherlands;Western Europe
24009061;Stichting Dijklander Ziekenhuis;Netherlands;Western Europe
24009062;Zurich Versicherungs-Gesellschaft AG;Switzerland;Western Europe
24009064;DOW Benelux B.V.;Netherlands;Western Europe
24009065;HAL Holding N.V.;Curacao;Latin America
24009066;Tata Steel Nederland B.V.;Netherlands;Western Europe
24009071;Koninklijke Luchtvaart Maatschappij N.V.;Netherlands;Western Europe
24009076;Nestlé Nederland B.V.;Netherlands;Western Europe
24009094;Merrill Lynch Capital Services Inc;United States;North America
24009097;Nationwide Building Society;United Kingdom;Western Europe
24009102;RCI BANQUE S.A.;France;Western Europe
24009103;Saudi Central Bank;Saudi Arabia;Asia
24009114;Marks & Spencer PLC;United Kingdom;Western Europe
24009115;Vodafone Group Public Limited Company;United Kingdom;Western Europe
24009115;Vodafone Group PLC;United Kingdom;Western Europe
24009116;Renault Finance SA;Switzerland;Western Europe
24009118;LYB Finance Company B.V.;Netherlands;Western Europe
24009120;Electricite de France SA;France;Western Europe
24009121;IBM International Treasury Services Unlimited Company;Ireland;Western Europe
24009139;Dow Europe GmbH;Switzerland;Western Europe
24009141;Heijmans N.V.;Netherlands;Western Europe
24009145;Millicom International Cellular SA;Luxembourg;Western Europe
24009146;BNP Paribas Fund II N.V.;Netherlands;Western Europe
24009147;AIG Financial Products Corp;United States;North America
24009150;Boskalis Finance B.V.;Netherlands;Western Europe
24009152;Goldman Sachs International;United Kingdom;Western Europe
24009159;Dow Financial Services Inc, Wilmington (Delaware), Zweigniederlassung Horgen;Switzerland;Western Europe
24009169;Nutricia International B.V.;Netherlands;Western Europe
24009180;AB Svensk Exportkredit;Sweden;Western Europe
24009186;Total Petrochemicals & Refining;Belgium;Western Europe
24009222;Stichting Nedlloyd Pensioenfonds;Netherlands;Western Europe
24009226;Intesa SanPaolo SpA;Italy;Western Europe
24009230;Nationale-Nederlanden Intervest XII B.V.;Netherlands;Western Europe
24009231;Stichting Ondernemingspensioenfonds MN Services;Netherlands;Western Europe
24009237;N.V. Schadeverzekering Metaal en Technische Bedrijfstakken;Netherlands;Western Europe
24009245;KEB Hana Bank (D) AG;Germany;Western Europe
24009248;Yorkshire Building Society;United Kingdom;Western Europe
24009250;Heineken N.V.;Netherlands;Western Europe
24009256;Brilmij Groep B.V.;Netherlands;Western Europe
24009260;SHV Energy N.V.;Netherlands;Western Europe
24009272;Leaseplan Corporation N.V.;Netherlands;Western Europe
24009275;Landelijk Instituut Sociale Verzekeringen;Netherlands;Western Europe
24009281;DAF Trucks N.V.;Netherlands;Western Europe
24009284;Ageas SA/NV;Belgium;Western Europe
24009290;Johnson Controls International SRL;Belgium;Western Europe
24009296;RCI Financial Services B.V.;Netherlands;Western Europe
24009301;Eurocommercial Properties N.V.;Netherlands;Western Europe
24009304;Tetra Laval Finance & Treasury S.A.;Switzerland;Western Europe
24009304;Tetra Laval Finance & Treasury S.A.;Cayman Islands;Latin America
24009312;Robeco Institutional Asset Management B.V.;Netherlands;Western Europe
24009313;SHELL Finance (Netherlands) B.V.;Netherlands;Western Europe
24009319;SHV Nederland B.V.;Netherlands;Western Europe
24009327;FEDERALE OVERHEIDSDIENST FINANCIEN;Belgium;Western Europe
24009338;BMW Finance N.V.;Netherlands;Western Europe
24009354;Ford Motor Co;United States;North America
24009363;The Coca-Cola Co;United States;North America
24009371;Singapore Airlines Ltd;Singapore;Asia
24009388;American Express Credit Corporation;United States;North America
24009391;American Express Europe LLC;United States;North America
24009399;HP Inc.;United States;North America
24009413;Centrica PLC;United Kingdom;Western Europe
24009414;Raiffeisenbank Austria dd;Croatia;Central and Eastern Europe
24009437;RJB Netherlands B.V.;Netherlands;Western Europe
24009478;Agricultural Bank Of China Ltd, Shenzhen branch;China;Asia
24009479;Agricultural Bank Of China Ltd, Tianjin branch;China;Asia
24009519;Bank of America National Association, Mumbai branch;India;Asia
24009523;Bank of America National Association, Seoul branch;Korea, Republic of;Asia
24009524;Bank of America National Association, Taipei branch;Taiwan;Asia
24009536;Bangkok Bank Public Company Limited, Taipei branch;Taiwan;Asia
24009536;Bangkok Bank PCL, Taipei branch;Taiwan;Asia
24009542;CIMB Bank Berhad, Hong Kong branch;Hong Kong;Asia
24009545;Bank of China Limited, Anhui Branch;China;Asia
24009546;Bank of China Limited, Jilin Branch;China;Asia
24009547;Bank of China Limited, Chaozhou branch;China;Asia
24009548;Bank of China Limited, Chongqing branch;China;Asia
24009549;Bank of China Limited, Hunan Branch;China;Asia
24009550;Bank of China Limited, Sichuan Branch;China;Asia
24009551;Bank of China Limited, Dalian branch;China;Asia
24009552;Bank of China Limited, Fujian Branch;China;Asia
24009553;Bank of China Limited, Foshan branch;China;Asia
24009554;Bank of China Limited, Jiangmen branch;China;Asia
24009556;Bank of China Limited, Hainan branch;China;Asia
24009557;Bank of China Limited, Zhejiang Branch;China;Asia
24009558;Bank of China Limited, Heilongjiang branch;China;Asia
24009563;Bank of China Limited, Yunnan branch;China;Asia
24009566;Bank of China Limited, Ningbo branch;China;Asia
24009567;Bank of China Limited, Jiangsu branch;China;Asia
24009569;Bank of China Limited, Jiangxi branch;China;Asia
24009570;Bank of China Limited, Guangxi branch;China;Asia
24009571;Bank of China Limited, Qingdao branch;China;Asia
24009574;Bank of China Limited, Shanghai branch;China;Asia
24009575;Bank of China Limited, Shunde branch;China;Asia
24009577;Bank of China Limited, Shenzhen branch;China;Asia
24009578;Bank of China Limited, Hebei branch;China;Asia
24009579;Bank of China Limited, Suzhou (Jiangsu) branch;China;Asia
24009580;Bank of China Limited, Liaoning Branch;China;Asia
24009581;Bank of China Limited, Sydney branch;Australia;Australia
24009582;Bank of China Limited, Tianjin branch;China;Asia
24009584;Bank of China Limited, Hankou, Sub-branch;China;Asia
24009585;Bank of China Limited, Shaanxi branch;China;Asia
24009586;Bank of China Limited, Xiamen branch;China;Asia
24009589;Bank of China Limited, Zhenjiang branch;China;Asia
24009592;Bank of China Limited, Guangdong Branch;China;Asia
24009596;Bank of Communications Co., Ltd., Beijing Municipal branch;China;Asia
24009608;Natixis SA, Hong Kong branch;Hong Kong;Asia
24009608;Natixis, Hong Kong branch;Hong Kong;Asia
24009608;Natixis Société Anonyme, Hong Kong branch;Hong Kong;Asia
24009615;Credit Agricole Corporate and Investment Bank S.A., Brussel branch;Belgium;Western Europe
24009615;Credit Agricole Corporate and Investment Bank, Brussel branch;Belgium;Western Europe
24009616;Credit Agricole Corporate and Investment Bank S.A., Seoul branch;Korea, Republic of;Asia
24009616;Credit Agricole Corporate and Investment Bank, Seoul branch;Korea, Republic of;Asia
24009618;Credit Agricole Corporate and Investment Bank S.A., Taipei branch;Taiwan;Asia
24009618;Credit Agricole Corporate and Investment Bank, Taipei branch;Taiwan;Asia
24009632;Bank Muscat SAOG;Oman;Asia
24009641;BNP Paribas, Lyon branch;France;Western Europe
24009641;BNP Paribas SA, Lyon branch;France;Western Europe
24009644;BNP Paribas, Seoul branch;Korea, Republic of;Asia
24009644;BNP Paribas SA, Seoul branch;Korea, Republic of;Asia
24009660;Bank of Taiwan, Hong Kong branch;Hong Kong;Asia
24009661;Bank of Taiwan, Kaoshiung Export Processing Zone Branch;Taiwan;Asia
24009665;Bank of Ayudhya Public Company Ltd, Bangkok Office;Thailand;Asia
24009665;Bank of Ayudhya Public Company Limited, Bangkok Office;Thailand;Asia
24009668;MUFG Bank, Ltd., Manila branch;Philippines;Asia
24009670;MUFG Bank, Ltd., Osaka branch;Japan;Asia
24009671;MUFG Bank, Ltd., Seoul branch;Korea, Republic of;Asia
24009675;Joint Stock Commercial Bank for Foreign Trade of Vietnam, Da-Nang branch;Viet Nam;Asia
24009676;Joint Stock Commercial Bank for Foreign Trade of Vietnam, Haiphong branch;Viet Nam;Asia
24009677;Joint Stock Commercial Bank for Foreign Trade of Vietnam, Vungtau branch;Viet Nam;Asia
24009681;Barclays Bank PLC, Dubai branch;United Arab Emirates;Asia
24009778;JPMorgan Chase Bank, N.A., Taipei branch;Taiwan;Asia
24009826;China Construction Bank Corporation, Liaoning Branch;China;Asia
24009835;CHINA DEVELOPMENT BANK, Hong Kong branch;Hong Kong;Asia
24009835;CHINA DEVELOPMENT BANK, Central District branch;Hong Kong;Asia
24009870;China CITIC Bank Corporation Limited, Shanghai branch;China;Asia
24009872;CITIC Limited;Hong Kong;Asia
24009872;CITIC Limited;China;Asia
24009881;Commerzbank Aktiengesellschaft, Shanghai branch;China;Asia
24009881;Commerzbank AG, Shanghai branch;China;Asia
24009886;Bank of Communications Co., Ltd., Foshan branch;China;Asia
24009887;Bank of Communications Co., Ltd., Shenzhen branch;China;Asia
24009928;Daegu Bank Ltd, Seoul branch;Korea, Republic of;Asia
24009944;DBS Bank Ltd, Hong Kong branch;Hong Kong;Asia
24009956;Deutsche Bank Aktiengesellschaft, Manila Branch;Philippines;Asia
24009956;Deutsche Bank Aktiengesellschaft, Makati City branch;Philippines;Asia
24009958;Deutsche Bank Aktiengesellschaft, Seoul branch;Korea, Republic of;Asia
24009961;DBS Bank Ltd, Taipei branch;Taiwan;Asia
24010020;Fifth Third Bank, National Association;United States;North America
24010024;Regions Bank;United States;North America
24010031;First Commercial Bank, Hong Kong branch;Hong Kong;Asia
24010032;First Commercial Bank, Singapore branch;Singapore;Asia
24010061;Joint Stock Commercial Bank for Foreign Trade of Vietnam, Ho Chi Minh City branch;Viet Nam;Asia
24010062;Foreign Trade Bank of the Democratic People's Republic of Korea;Korea, Democratic People's Republic of;Asia
24010070;Mizuho Bank Ltd., Osaka branch;Japan;Asia
24010074;Industrial Bank Co Ltd, Xiamen branch;China;Asia
24010117;Goldman Sachs Bank USA;United States;North America
24010151;Guangdong Investment Ltd;Hong Kong;Asia
24010198;The Exchange Fund of the Hong Kong Special Administrative Region;Hong Kong;Asia
24010199;Hong Kong Monetary Authority;Hong Kong;Asia
24010222;The Hongkong and Shanghai Banking Corporation Limited, Colombo branch;Sri Lanka;Asia
24010223;The Hongkong and Shanghai Banking Corporation Limited, Seoul branch;Korea, Republic of;Asia
24010224;The Hongkong and Shanghai Banking Corporation Limited, Shanghai branch;China;Asia
24010234;Hua Nan Commercial Bank Ltd, Hong Kong branch;Hong Kong;Asia
24010237;Hua Xia Bank Co Ltd;China;Asia
24010254;Industrial And Commercial Bank Of China Ltd, Singapore branch;Singapore;Asia
24010255;Industrial And Commercial Bank Of China Ltd, Foshan branch;China;Asia
24010256;Vietnam Joint Stock Commercial Bank for Industry and Trade, Ho Chi Minh City branch;Viet Nam;Asia
24010257;Industrial And Commercial Bank Of China Ltd, Hong Kong branch;Hong Kong;Asia
24010259;Industrial And Commercial Bank Of China Ltd, Shanghai branch;China;Asia
24010260;Industrial And Commercial Bank Of China Ltd, Shenzhen branch;China;Asia
24010267;Industrial Bank of Korea, Hong Kong branch;Hong Kong;Asia
24010298;Islami Bank Bangladesh Ltd;Bangladesh;Asia
24010322;The Jeonbuk Bank Ltd;Korea, Republic of;Asia
24010394;Korea Development Bank, Shanghai branch;China;Asia
24010396;KEB Hana Bank, London branch;United Kingdom;Western Europe
24010399;KEB Hana Bank, Singapore branch;Singapore;Asia
24010411;Kyongnam Bank;Korea, Republic of;Asia
24010448;Lenovo Group Limited;Hong Kong;Asia
24010470;Chong Hing Bank Ltd;Hong Kong;Asia
24010491;LG International (Hong Kong) Ltd;Hong Kong;Asia
24010536;Metropolitan Bank & Trust Company, Taipei branch;Taiwan;Asia
24010543;Habib Metropolitan Bank Ltd;Pakistan;Asia
24010552;HSBC Bank PLC, Singapore branch;Singapore;Asia
24010561;PT Bank DBS Indonesia;Indonesia;Asia
24010580;Nanyang Commercial Bank (China) Limited, Shenzhen branch;China;Asia
24010593;Qatar National Bank Al Ahli S.A.E.;Egypt;Africa
24010624;Noble Resources Ltd;Hong Kong;Asia
24010630;The Norinchukin Bank, Singapore branch;Singapore;Asia
24010651;Minmetals Resources Ltd;Hong Kong;Asia
24010656;Oversea-Chinese Banking Corporation Ltd, Hong Kong branch;Hong Kong;Asia
24010657;OCBC Bank (Malaysia) Bhd;Malaysia;Asia
24010659;OCBC Wing Hang Bank (China) Limited;China;Asia
24010683;China Construction Bank Corporation, Hong Kong branch;Hong Kong;Asia
24010684;China Construction Bank Corporation, Shenzhen branch;China;Asia
24010690;Philippine National Bank, Hong Kong branch;Hong Kong;Asia
24010717;Profitex Import Export Company Limited;Hong Kong;Asia
24010722;Busan Bank Co. Ltd., Seoul branch;Korea, Republic of;Asia
24010740;Republic Financial Holdings Limited;Trinidad and Tobago;Latin America
24010748;Romanee Limited;Hong Kong;Asia
24010757;EFG Bank AG;Switzerland;Western Europe
24010758;Hong Kong Interbank Clearing Ltd;Hong Kong;Asia
24010770;Samsung C&T Hongkong Limited;Hong Kong;Asia
24010823;Silicon Valley Bank;United States;North America
24010831;Sinopec (Hong Kong) Ltd;Hong Kong;Asia
24010845;Societe Generale, Seoul branch;Korea, Republic of;Asia
24010864;Standard Chartered Bank Kenya Ltd;Kenya;Africa
24010865;Standard Chartered Bank, London branch;United Kingdom;Western Europe
24010867;Standard Chartered Bank (China) Ltd, Shanghai branch;China;Asia
24010867;Standard Chartered Bank, Shanghai branch;China;Asia
24010871;State Bank of India, Hong Kong branch;Hong Kong;Asia
24010872;State Bank of India, Singapore branch;Singapore;Asia
24010884;Landesbank Baden-Württemberg, Singapore branch;Singapore;Asia
24010886;Sumitomo Mitsui Banking Corp, Seoul branch;Korea, Republic of;Asia
24010938;Kasikornbank Public Company Limited, Hong Kong branch;Hong Kong;Asia
24010953;Kingdee International Software Group Co Ltd;Hong Kong;Asia
24010998;Unipec Asia Company Limited;Hong Kong;Asia
24011005;RHB Bank Bhd, Singapore branch;Singapore;Asia
24011009;United Overseas Bank Ltd, Hong Kong branch;Hong Kong;Asia
24011015;UBS AG, Taipei branch;Taiwan;Asia
24011037;Kotak Mahindra Bank Limited, Mumbai Branch;India;Asia
24011037;Kotak Mahindra Bank Ltd, Mumbai Branch;India;Asia
24011144;ZIONS BANCORPORATION NA;United States;North America
36000011;Abanka d.d.;Slovenia;Central and Eastern Europe
36000016;ABC International Bank PLC;United Kingdom;Western Europe
36000018;Arab Banking Corporation B.S.C.;Bahrain;Asia
36000018;Arab Banking Corporation BSC;Bahrain;Asia
36000019;Arab Banking Corporation SA;France;Western Europe
36000067;NatWest Markets N.V., Hong Kong branch;Hong Kong;Asia
36000080;NatWest Markets N.V.;Netherlands;Western Europe
36000081;ABN AMRO Bank NV, Rotterdam branch;Netherlands;Western Europe
36000088;NatWest Markets Plc, Singapore branch;Singapore;Asia
36000097;Agricultural Bank Of China Ltd;China;Asia
36000099;ABSA Bank Ltd, London branch;United Kingdom;Western Europe
36000101;ABSA Bank Ltd;South Africa;Africa
36000113;The Royal Bank of Scotland plc;United Kingdom;Western Europe
36000116;Abu Dhabi Commercial Bank PJSC;United Arab Emirates;Asia
36000118;Abu Dhabi Investment Authority;United Arab Emirates;Asia
36000125;Adriaanse Import & Export B.V.;Netherlands;Western Europe
36000131;Standard Chartered Bank, Germany branch;Germany;Western Europe
36000146;African Development Bank;Cote D'Ivoire;Africa
36000149;Aircraft Fuel Supply B.V.;Netherlands;Western Europe
36000151;African Export-Import Bank;Egypt;Africa
