Issuer/Borrower Name;"Nation
Region
Description";Matched Region
Wheelock Properties Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Beijing Longzeyuan Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
York Group Holdings LP;"Americas
North America";North America
Heat Midco AB;"Europe
Western Europe";Western Europe
Welink Energy Ireland Ltd;"Europe
Western Europe";Western Europe
Mitsubishi Chemical Holdings;Japan;Asia
Langfang Zhejun Data Tech Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Wenzhou Zhaoou Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Ikebe Musical Instr Store Co;Japan;Asia
BJC Healthcare Inc;"Americas
North America";North America
Hamilton Beach Brands Inc;"Americas
North America";North America
Capricorn Egypt Oil Asts;"Africa/Middle East/Central Asia
North Africa";Africa
Chailease Berjaya Credit Sdn;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Rih Ding Water Enterprise;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Mowi ASA;"Europe
Western Europe";Western Europe
Trident Tpi Holdings Inc;"Americas
North America";North America
Savage Cos;"Americas
North America";North America
Chaney Enterprises LP;"Americas
North America";North America
Roompot Service BV;"Europe
Western Europe";Western Europe
Quest Software Inc;"Americas
North America";North America
Okinawa Electric Power Co Inc;Japan;Asia
Link Life Inc;Japan;Asia
Finish Line Inc;"Americas
North America";North America
Definitive Healthcare LLC;"Americas
North America";North America
Suzhou Xinchengjia Biological;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Taicang Biomed Industrial Pk;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Via Muhlhausen GmbH & Co KG;"Europe
Western Europe";Western Europe
Car Mate Mfg Co Ltd;Japan;Asia
Funko LLC;"Americas
North America";North America
Wks Frosty Corp;"Americas
North America";North America
Paychex New York;"Americas
North America";North America
Priority Holdings LLC;"Americas
North America";North America
Altera Printer's Park LLC;"Americas
North America";North America
Windpk Am Hainberg Gmbh & Co;"Europe
Western Europe";Western Europe
Albion Atlas Intermediate;"Americas
North America";North America
HDBank;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Horizon Milling LLC;"Americas
North America";North America
Information Services Group Inc;"Americas
North America";North America
KFC Ltd;Japan;Asia
Kataman Metals Inc;"Americas
North America";North America
GLP China Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Joy City Property Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Investore Property Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Bp Hh Holdings LLC;"Americas
North America";North America
Performance Food Group Co;"Americas
North America";North America
Wolverine Power Supply Coop;"Americas
North America";North America
China Risun Group Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Rottendorf Pharma GmbH;"Europe
Western Europe";Western Europe
Takara Leben Co Ltd;Japan;Asia
XLerate Group;"Americas
North America";North America
Ryan Woodbury LLC;"Americas
North America";North America
Doran MGRB II LLC;"Americas
North America";North America
Charis & Co;Japan;Asia
Waters Corp;"Americas
North America";North America
Tianwei Apartment Bldg Mgmt;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Fortis Life Sciences LLC;"Americas
North America";North America
TotalEnergies M Solar LLC;"Americas
North America";North America
Pacific 2021 Bidco G Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
PAG Asia Special Situations;"Americas
Caribbean";Latin America
SSI Securities Corp;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Sany International Devp Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
WM Cayman Holdings Ltd II;"Americas
Caribbean";Latin America
Equinix Hyperscale 2 Finco ABV;"Europe
Western Europe";Western Europe
Duquesne Light Co;"Americas
North America";North America
Duquesne Light Holdings Inc;"Americas
North America";North America
FabSouth LLC;"Americas
North America";North America
Urasakikai;Japan;Asia
Rea Group Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Maruwayushi Co Ltd;Japan;Asia
Starbucks Corp;"Americas
North America";North America
Seaport L-5 Title Holder LLC;"Americas
North America";North America
Xpress Global Systems Inc;"Americas
North America";North America
Kaban Wind Farm Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Elawan Eolica Frontones SL;"Europe
Western Europe";Western Europe
Yancoal Resources Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
United Renewable Energy Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Fetch Acquisition LLC;"Americas
North America";North America
Intcomex Inc;"Americas
North America";North America
LendingTree Inc;"Americas
North America";North America
Comer Industries SpA;"Europe
Western Europe";Western Europe
Janfusun Fancyworld Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Cube Telecom Europe Bidco Ltd;"Europe
Western Europe";Western Europe
Task M Holdings Co Ltd;Japan;Asia
Cia Minera del Pacifico SA;"Americas
South America";Latin America
Nordic Kraft Lp;"Americas
North America";North America
Rdo Fahrzeuggesellschaft Mbh;"Europe
Western Europe";Western Europe
Vineyard Wind 1;"Americas
North America";North America
Collecdev (500 Wilson) Inc;"Americas
North America";North America
Formosa Auto Leasing Corp Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Patton BIP HoldCo;"Americas
North America";North America
HomeServices of America Inc;"Americas
North America";North America
Hyogo Prefecture;Japan;Asia
Malayan Cement Bhd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Kermel SAS;"Europe
Western Europe";Western Europe
PT Megah Surya Pertiwi;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Minnetonka Lsd Hsig Asoc III;"Americas
North America";North America
QuikTrip Corp;"Americas
North America";North America
Royalty Pharma AG;"Europe
Western Europe";Western Europe
Structural Concepts Corp;"Americas
North America";North America
Archaea Energy Operating LLC;"Americas
North America";North America
Slate Office REIT;"Americas
North America";North America
Metro Ppty Dvlp Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
15 Riverside Avenue Owner LLC;"Americas
North America";North America
Sunrock Assets Holding Bv;"Europe
Western Europe";Western Europe
Mre-Iii Proyecto Trece SL;"Europe
Western Europe";Western Europe
Patagonia HoldCo;"Americas
North America";North America
UDR Inc;"Americas
North America";North America
Yurindo Co Ltd;Japan;Asia
Collabera Inc;"Americas
North America";North America
PCCLF Holding Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
GEDR at CV West LLC;"Americas
North America";North America
DI Purchaser Inc;"Americas
North America";North America
VPBank Finance Co Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
CIFI Holdings (Group) Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
PRH 1116 North Ocean LLC;"Americas
North America";North America
YFY Packaging Inc;"Asia-Pacific (ex Central Asia)
North Asia";Asia
CTI Engineering Co Ltd;Japan;Asia
Mitsubishi Kakoki Kaisha Ltd;Japan;Asia
ERS Rental Solutions LLC;"Americas
North America";North America
Anderson Merchandisers Llc;"Americas
North America";North America
Tereos France USCA;"Europe
Western Europe";Western Europe
CFG Finance Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Charter Hall Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
China Airlines Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Tencate Grass Holding Bv;"Americas
North America";North America
Haza Bell Of Nebraska Llc;"Americas
North America";North America
Hirose Tusyo Inc;Japan;Asia
Republic of Cote d'lvoire;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Utico FZC;"Africa/Middle East/Central Asia
Middle East";Africa
Pt Pertamina Intl Shipping;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Screen Holdings Co Ltd;Japan;Asia
NEC Capital Solutions Ltd;Japan;Asia
Oaktree Capital Management LP;"Americas
North America";North America
Papa Johns International Inc;"Americas
North America";North America
Supermarket Income REIT Plc;"Europe
Western Europe";Western Europe
Recreational Equipment Inc;"Americas
North America";North America
GMO Financial Holdings Inc;Japan;Asia
Socar Trading SA;"Europe
Western Europe";Western Europe
Tianfeng Securities Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Volcafe USA;"Americas
North America";North America
Ryan Lafayette Llc;"Americas
North America";North America
Global 1845 Broadway Llc;"Americas
North America";North America
BYGGFAKTA GROUP Nordic HoldCo;"Europe
Western Europe";Western Europe
Hitron Technologies Inc;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Shanghai Horizon Equip &;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Intl Paper Co-Printing Papers;"Americas
North America";North America
CRE Logistics REIT Inc;Japan;Asia
Altares-D & B SAS;"Europe
Western Europe";Western Europe
Sinochem High Performance;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Saddleback Exploration LLC;"Americas
North America";North America
Csg Systems International Inc;"Americas
North America";North America
Beijing Energy Holding Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
AQR Capital Management LLC;"Americas
North America";North America
Nautilus Solar Constr Holdco;"Americas
North America";North America
Flowserve Corp;"Americas
North America";North America
Enaitinere SAU;"Europe
Western Europe";Western Europe
Dexus Wholesale Management Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Grupo Bimbo SAB de CV;"Americas
Central America";Latin America
National Spine & Pain Centers;"Americas
North America";North America
Nomad Royalty Co Ltd;"Americas
North America";North America
Origin Co Ltd;Japan;Asia
Remitly Global Inc;"Americas
North America";North America
China Educ Grp Hldg Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Bpcr LP;"Europe
Western Europe";Western Europe
North Am Central School Bus;"Americas
North America";North America
George Weston Ltd;"Americas
North America";North America
CIP18 CRE City Center Airpark;"Americas
North America";North America
Pentastar Transp Ltd;"Americas
North America";North America
euNetworks GmbH;"Europe
Western Europe";Western Europe
Alvean Sugar SL;"Europe
Western Europe";Western Europe
Sugai Chemical Industry Co Ltd;Japan;Asia
MTT Holdings Corp;Japan;Asia
Sekisui House Ltd;Japan;Asia
Elmtree Funds Llc;"Americas
North America";North America
MedSpa Partners Inc;"Americas
North America";North America
Aventura At Wentzville Llc;"Americas
North America";North America
C C Land Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Louis Dreyfus Co Asia Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Create Corp;Japan;Asia
Iona Finance Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Becamex Tokyu Co Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Guangzhou Nansha Kechuang Re;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Shanghai Chem Ind Pk Anyue;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Pilot Energy Services;"Americas
North America";North America
Spriggs Distribution Co;"Americas
North America";North America
ET III Tiffany Springs LLC;"Americas
North America";North America
ET III Greenville JEC LLC;"Americas
North America";North America
Compeq Manufacturing(Huizhou);"Asia-Pacific (ex Central Asia)
North Asia";Asia
Darden Restaurants Inc;"Americas
North America";North America
Elders Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Escondido Resources II LLC;"Americas
North America";North America
Ganko Food Service Co Ltd;Japan;Asia
RF Capital Group Inc;"Americas
North America";North America
Wendy's of Bowling Green Inc;"Americas
North America";North America
Viaduct Holdings IV Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
HIME;"Europe
Western Europe";Western Europe
KKR HKE Investment LP;"Americas
Caribbean";Latin America
Memorial Hermann Healthcare;"Americas
North America";North America
Red de Carreteras de Occidente;"Americas
Central America";Latin America
Portland General Electric Co;"Americas
North America";North America
Willowtree Llc;"Americas
North America";North America
Sankyu Inc;Japan;Asia
PPC Flexible Packaging LLC;"Americas
North America";North America
True Value Co LLC;"Americas
North America";North America
Yasui Architects and Engineers;Japan;Asia
Genius Auto Finance Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Araz Group DE LLC;"Americas
North America";North America
ABC Legal Intermediate Holding;"Americas
North America";North America
Calvert Home Mtg Invest Corp;"Americas
North America";North America
Bach Bidco SpA;"Europe
Western Europe";Western Europe
World Peace Inds Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Ongc Videsh Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Ceramica La Escandella SA;"Europe
Western Europe";Western Europe
Cayman Engley Industrial Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Motel 6 LP(Accor SA);"Americas
North America";North America
Calzada Capital Partners LLC;"Americas
North America";North America
Jasco Engineering Co Ltd;Japan;Asia
Advanced Energy Industries Inc;"Americas
North America";North America
Arrow Electronics Inc;"Americas
North America";North America
DoubleLine Yield;"Americas
North America";North America
Brevet Direct Lending Short;"Americas
North America";North America
Arianeo Wte;"Europe
Western Europe";Western Europe
Edeka Baden-Wuerttemberg;"Europe
Western Europe";Western Europe
Cop Home Svcs Hldg Inc;"Americas
North America";North America
ION Trading Technologies Ltd;"Europe
Western Europe";Western Europe
Hotai Finance Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Iron Ore Co of Canada;"Americas
North America";North America
J&J;"Americas
North America";North America
LightEdge Solutions Inc;"Americas
North America";North America
Mauritius Commercial Bank Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Fuyo General Lease Co Ltd;Japan;Asia
Valet Living Inc;"Americas
North America";North America
Altern Marketing LLC;"Americas
North America";North America
Wisdom Sign Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Meatball Merger Sub Llc;"Americas
North America";North America
Community Housing Capital;"Americas
North America";North America
JY Mulpha BB Level 2 Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
BRK Ambiental Sumare Sa;"Americas
South America";Latin America
Butron XXI SL;"Europe
Western Europe";Western Europe
Panasonic Corp;Japan;Asia
Fulenwider Enterprises;"Americas
North America";North America
Genertec Universal Med Grp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Richmen Development Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Mgi International LLC;"Americas
North America";North America
AIC Financial US LLC;"Americas
North America";North America
Jinhua Baolin Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
CT Real Estate Invest Trust;"Americas
North America";North America
Civeo Corp;"Americas
North America";North America
Cassavant Machining Inc;"Americas
North America";North America
GLP Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Bridge Logistics Net Lease Co;"Americas
North America";North America
Stanly Solar;"Americas
North America";North America
easyJet PLC;"Europe
Western Europe";Western Europe
Millenaire Finment 17;"Europe
Western Europe";Western Europe
Explorer Pipeline Co;"Americas
North America";North America
Forum Oilfield Tech Inc;"Americas
North America";North America
AirPower Technologies Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kaseya Traverse Inc;"Americas
North America";North America
New Home Co Inc;"Americas
North America";North America
Oil Search (PNG) Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Oregon Group Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Emkay Canada Leasing Corp;"Americas
North America";North America
Purmo Group Ltd;"Europe
Western Europe";Western Europe
Perdoceo Education Corp;"Americas
North America";North America
Saudi Electricity Co;"Africa/Middle East/Central Asia
Middle East";Africa
Saudi Telecom Co Sjsc;"Africa/Middle East/Central Asia
Middle East";Africa
Cybergrants Inc;"Americas
North America";North America
Platinum Eq Capital Partners;"Americas
North America";North America
Openroad Lending LLC;"Americas
North America";North America
